"","Date","Open","High","Low","Close","Volume","Dividend","Split","Adj_Open","Adj_High","Adj_Low","Adj_Close","Adj_Volume"
"906",2014-12-22,102.25,103.57,102.23,103.5,5418865,0,1,94.8445730954052,96.0689724742407,94.8260215896652,96.0040422041509,5418865
"907",2014-12-19,100.92,102,100.81,101.93,12500604,0,1,93.6108979636996,94.612679273656,93.50886468213,94.5477490035662,12500604
"908",2014-12-18,100.34,100.69,99.3,100.67,6593517,0,1,93.0729042972416,93.3975556476904,92.1082259987651,93.3790041419505,6593517
"909",2014-12-17,97.59,99.14,97.09,98.94,6096377,0,1,90.5220722580009,91.9598139528456,90.0582846145026,91.7742988954463,6096377
"910",2014-12-16,99.38,100.232,96.99,97.06,7831429,0,1,92.1824320217248,92.972726166246,89.9655270858029,90.0304573558927,7831429
"911",2014-12-15,100.01,101.24,99.29,100.05,5488342,0,1,92.7668044525327,93.9077220555386,92.0989502458951,92.8039074640126,5488342
"912",2014-12-12,99.69,101.25,99.39,99.78,5985138,0,1,92.4699803606938,93.9169978084085,92.1917077745948,92.5534621365235,5985138
"913",2014-12-11,99.28,101.4,99.15,100.27,6863672,0,1,92.0896744930252,94.056134101458,91.9690897057156,93.0079740271518,6863672
"914",2014-12-10,99.36,100.23,98.82,98.94,5356939,0,1,92.1638805159849,92.970871015672,91.6629898610067,91.7742988954463,5356939
"915",2014-12-09,99.69,99.98,98.5856,99.64,5280581,0,1,92.4699803606938,92.7389771939228,91.4455662137347,92.423601596344,5280581
"916",2014-12-08,99.71,100.95,99.66,100.43,6624334,0,1,92.4885318664337,93.6387252223095,92.4421531020839,93.1563860730713,6624334
"917",2014-12-05,98.77,99.68,98.66,99.64,4649088,0,1,91.6166110966569,92.4607046078238,91.5145778150873,92.423601596344,4649088
"918",2014-12-04,98.15,99.11,97.78,98.95,5227444,0,1,91.041514418719,91.9319866942357,90.6983115625302,91.7835746483163,5227444
"919",2014-12-03,98.1,98.7399,98.04,98.59,4358974,0,1,90.9951356543691,91.5886910805183,90.9394811371494,91.4496475449975,4358974
"920",2014-12-02,98.62,99,97.99,98.16,4677714,0.47,1,91.4774748036074,91.8299534126661,90.8931023727995,91.0507901715889,4677714
"921",2014-12-01,99.49,99.61,98.31,98.88,4393689,0,1,91.8447035807704,91.955482196005,90.7553805309633,91.2815789533277,4393689
"922",2014-11-28,98.06,99.8,98,99.4,3305799,0,1,90.5245917492245,92.1308816701265,90.4692024416072,91.7616196193444,3305799
"923",2014-11-26,97.06,97.71,97.01,97.7,4338093,0,1,89.6014366222693,90.2014874547902,89.5552788659216,90.1922559035206,4338093
"924",2014-11-25,98.64,98.87,96.41,97.01,7991953,0,1,91.0600217228585,91.2723474020582,89.0013857897485,89.5552788659216,7991953
"925",2014-11-24,98.68,98.9,98.22,98.4,5043636,0,1,91.0969479279367,91.3000420558668,90.6722965695373,90.8384644923893,5043636
"926",2014-11-21,98.98,99.1,97.82,98.28,6804741,0,1,91.3738944660233,91.4846730812579,90.3030345187552,90.7276858771546,6804741
"927",2014-11-20,96.08,97.97,96.02,97.57,4958379,0,1,88.6967445978532,90.4415077877985,88.6413552902359,90.0722457370164,4958379
"928",2014-11-19,96.55,97.31,96,96.7,6830710,0,1,89.1306275075222,89.8322254040081,88.6228921876968,89.2691007765655,6830710
"929",2014-11-18,97.15,97.71,86.78,95.98,10387062,0,1,89.6845205836953,90.2014874547902,80.1114019171701,88.6044290851577,10387062
"930",2014-11-17,98.17,98.945,97.8,98.03,8575645,0,1,90.6261388131896,91.3415840365798,90.2845714162161,90.4968970954158,8575645
"931",2014-11-14,98.9,99,98.02,98.24,4082879,0,1,91.3000420558668,91.3923575685624,90.4876655441463,90.6907596720764,4082879
"932",2014-11-13,98.9,99.36,98.34,99,3182816,0,1,91.3000420558668,91.7246934142662,90.7830751847719,91.3923575685624,3182816
"933",2014-11-12,98.3,98.7,97.61,98.49,4629393,0,1,90.7461489796937,91.1154110304758,90.1091719420947,90.9215484538152,4629393
"934",2014-11-11,98.46,98.75,97.88,98.14,3819301,0,1,90.8938538000066,91.1615687868236,90.3584238263726,90.5984441593809,3819301
"935",2014-11-10,97.64,98.17,97,98.16,3662160,0,1,90.1368665959033,90.6261388131896,89.546047314652,90.61690726192,3662160
"936",2014-11-07,97.17,97.75,96.6925,97.65,3429560,0,1,89.7029836862344,90.2384136598684,89.2621771131133,90.1460981471729,3429560
"937",2014-11-06,96.35,97.51,96.01,97.29,4016028,0,1,88.9459964821311,90.0168564293992,88.6321237389664,89.813762301469,4016028
"938",2014-11-05,96.59,96.85,95.15,95.78,5002514,0,1,89.1675537126004,89.4075740456087,87.8382103297849,88.4197980597667,5002514
"939",2014-11-04,96.06,96.18,95.19,95.96,5349563,0,1,88.6782814953141,88.7890601105488,87.8751365348631,88.5859659826186,5349563
"940",2014-11-03,96.81,96.83,95.975,96.09,7614158,0,1,89.3706478405305,89.3891109430696,88.5998133095229,88.7059761491228,7614158
"941",2014-10-31,98.78,99.257,97.33,97.52,6336392,0,1,91.1892634406322,91.6296084361898,89.8506885065472,90.0260879806687,6336392
"942",2014-10-30,96.12,97.8,96.03,97.52,4114578,0,1,88.7336708029315,90.2845714162161,88.6505868415055,90.0260879806687,4114578
"943",2014-10-29,96.62,97.2537,95.8006,96.42,4275440,0,1,89.195248366409,89.7802517703605,88.438815055382,89.010617341018,4275440
"944",2014-10-28,95.91,96.6,95.5,96.59,5261206,0,1,88.5398082262709,89.1767852638699,88.1613146242192,89.1675537126004,5261206
"945",2014-10-27,94.96,95.68,94.71,95.47,4465121,0,1,87.6628108556634,88.3274825470712,87.4320220739246,88.1336199704106,4465121
"946",2014-10-24,94.6,95.189,94.13,94.99,4825237,0,1,87.3304750099596,87.8742133797362,86.8965921002906,87.6905055094721,4825237
"947",2014-10-23,94.5,95.52,94.44,94.8,5926297,0,1,87.2381594972641,88.1797777267583,87.1827701896468,87.5151060353506,5926297
"948",2014-10-22,94.3,94.99,93.24,93.34,5912508,0,1,87.053528471873,87.6905055094721,86.0749840373005,86.1672995499961,5912508
"949",2014-10-21,92.53,94.37,92.12,94.2,6610844,0,1,85.4195438971624,87.1181493307599,85.0410502951108,86.9612129591775,6610844
"950",2014-10-20,89.87,92.07,89.77,91.85,5614477,0,1,82.9639512594616,84.994892538763,82.8716357467661,84.7917984108329,5614477
"951",2014-10-17,89.3,91.12,89.05,90.24,7013765,0,1,82.4377528370972,84.1178951681556,82.2069640553584,83.305518656435,7013765
"952",2014-10-16,86.35,89.72,86.35,88.88,7147594,0,1,79.7144452125794,82.8254779904183,79.7144452125794,82.050027683776,7147594
"953",2014-10-15,88.09,89.17,86.62,87.85,12993637,0,1,81.3207351334814,82.317742670593,79.9636970968573,81.0991779030121,12993637
"954",2014-10-14,90.37,90.53,88.52,90.1,9711348,0,1,83.4255288229392,83.573233643252,81.7176918380721,83.1762769386613,9711348
"955",2014-10-13,92.88,92.94,90.4313,90.6,7378868,0,1,85.7426481915967,85.798037499214,83.4821182322215,83.6378545021389,7378868
"956",2014-10-10,93.23,93.86,92.54,92.55,6349941,0,1,86.065752486031,86.6473402160128,85.4287754484319,85.4380069997015,6349941
"957",2014-10-09,93.91,94.79,93.02,93.07,6674794,0,1,86.6934979723605,87.5058744840811,85.8718899093704,85.9180476657182,6674794
